Date,Open,High,Low,Close,Volume,Quote_Volume,Trades_Count,div,Log_VolumeGain
8/17/2017 4:00,4261.48,4349.99,4261.32,4349.99,82,353194,334,0.979652827,0
8/17/2017 8:00,4333.32,4485.39,4333.32,4427.3,64,282501,248,0.978772615,-22.33353906
8/17/2017 12:00,4436.06,4485.39,4333.42,4352.34,175,774239,858,1.01923563,100.8198521
8/17/2017 16:00,4352.33,4354.84,4200.74,4325.23,225,965291,986,1.006265563,22.05489988
8/17/2017 20:00,4307.56,4369.69,4258.56,4285.08,250,1079545,1001,1.00524611,11.18653248
8/18/2017 0:00,4285.08,4340.62,4134.61,4292.39,276,1175806,1036,0.998296986,8.541421381
8/18/2017 4:00,4292.39,4340.62,4234.43,4300.25,248,1063955,1135,0.998172199,-9.996077309
8/18/2017 8:00,4285,4371.52,4259.85,4340.31,196,845596,880,0.987256671,-22.97066716
8/18/2017 12:00,4320.52,4340.31,4193.7,4236.89,176,749459,697,1.019738535,-12.06900913
8/18/2017 16:00,4234.54,4297.75,4015.7,4136.28,194,807331,753,1.023755645,7.438213236
8/18/2017 20:00,4135,4136.48,3938.77,4108.37,110,444813,732,1.006481889,-59.60797761
8/19/2017 0:00,4108.37,4184.69,4084.28,4138.55,109,449351,585,0.992707591,1.015035041
8/19/2017 4:00,4138.5,4156,3933.21,4033.47,113,457215,493,1.026039614,1.734942024
8/19/2017 8:00,4033.47,4082.25,3850,3957.6,77,307816,481,1.01917071,-39.56515379
8/19/2017 12:00,3945.12,4100,3928.89,3972.05,48,192324,320,0.993220126,-47.03207521
8/19/2017 16:00,4036.19,4103.92,3953.4,4076.12,26,104479,161,0.990203919,-61.01953555
8/19/2017 20:00,4088.71,4149.99,4051.47,4139.98,9,38299,113,0.987615882,-100.3562308
8/20/2017 0:00,4120.98,4139.98,4044,4094.62,7,27090,79,1.006437716,-34.62591301
8/20/2017 4:00,4094.62,4156.56,4081.19,4155.87,29,117539,275,0.98526181,146.7605537
8/20/2017 8:00,4155.87,4211.08,4032.62,4106.53,36,148442,268,1.01201501,23.34241162
8/20/2017 12:00,4106.53,4125.43,4063.35,4125,29,119507,128,0.995522424,-21.68193625
8/20/2017 16:00,4125,4185.94,4091.59,4164.6,170,703376,689,0.990491284,177.2516652
8/20/2017 20:00,4161.59,4171.62,4069.13,4086.29,197,814409,882,1.018427473,14.65710973
8/21/2017 0:00,4069.13,4119.62,4039,4084.76,221,901616,931,0.996173582,10.1726012
8/21/2017 4:00,4079.26,4104.68,3953.4,4043.63,223,897753,1200,1.00881139,-0.429373401
8/21/2017 8:00,4043.63,4088.12,4000.01,4023.11,79,318370,454,1.005100532,-103.6680746
8/21/2017 12:00,4023.11,4023.11,3911.79,4022,44,174414,479,1.000275982,-60.17824449
8/21/2017 16:00,4005.99,4042.11,3918.8,4027.05,24,97898,330,0.994770365,-57.75056632
